,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Australia,Germany,"Hong Kong, China (SAR)",Japan,Liechtenstein,Luxembourg,New Zealand,Norway,Singapore,Sweden,Switzerland,,,,,,,
1,Israel,Brunei Darussalam,Qatar,United Arab Emirates,Denmark,Finland,Ireland,Netherlands,United Kingdom,United States,Canada,Andorra,Iceland,,,,,
2,Kuwait,Belgium,Austria,Saudi Arabia,France,Italy,,,,,,,,,,,,
3,Korea (Republic of),Lithuania,Slovenia,Bahrain,Cyprus,Greece,Spain,,,,,,,,,,,
4,Cuba,Czechia,Estonia,Oman,Malta,Trinidad and Tobago,,,,,,,,,,,,
5,Hungary,Poland,Slovakia,Latvia,Equatorial Guinea,Antigua and Barbuda,Bahamas,Chile,Croatia,Portugal,,,,,,,,
6,Argentina,Georgia,Montenegro,Romania,Russian Federation,Belarus,Kazakhstan,Palau,Ukraine,Uruguay,Costa Rica,Lebanon,Libya,Malaysia,Mexico,Panama,Saint Kitts and Nevis,Seychelles
7,Barbados,Bulgaria,Dominica,Turkey,Venezuela (Bolivarian Republic of),Albania,Bosnia and Herzegovina,Maldives,,,,,,,,,,
8,Algeria,Saint Lucia,Serbia,Sri Lanka,Tonga,Iran (Islamic Republic of),Mauritius,Thailand,Jamaica,China,Ecuador,Tunisia,,,,,,
9,Armenia,Grenada,Jordan,Peru,Gabon,Botswana,Brazil,Colombia,Suriname,Viet Nam,Syrian Arab Republic,,,,,,,
10,Fiji,Azerbaijan,Saint Vincent and the Grenadines,South Africa,Belize,Samoa,Dominican Republic,Morocco,Iraq,Nicaragua,,,,,,,,
11,Mongolia,Moldova (Republic of),Philippines,"Palestine, State of",Uzbekistan,Cabo Verde,Egypt,El Salvador,Indonesia,Paraguay,,,,,,,,
12,Kyrgyzstan,Bolivia (Plurinational State of),Guyana,Kiribati,Tajikistan,Honduras,Namibia,Guatemala,Timor-Leste,Micronesia (Federated States of),Vanuatu,,,,,,,
13,Zambia,India,Eswatini (Kingdom of),Nigeria,Bhutan,Angola,Pakistan,Congo,Bangladesh,Ghana,Madagascar,Solomon Islands,,,,,,
14,Zimbabwe,Lao People's Democratic Republic,Myanmar,Papua New Guinea,Sao Tome and Principe,Mauritania,Yemen,Cameroon,Lesotho,Nepal,Kenya,,,,,,,
15,Sudan,Cambodia,Côte d'Ivoire,Tanzania (United Republic of),Togo,Uganda,,,,,,,,,,,,
16,Djibouti,Benin,Comoros,Eritrea,Haiti,Senegal,Liberia,,,,,,,,,,,
17,Afghanistan,Congo (Democratic Republic of the),Gambia,Malawi,Rwanda,Guinea,Mali,,,,,,,,,,,
18,Sierra Leone,Guinea-Bissau,Central African Republic,Ethiopia,Mozambique,Burkina Faso,Chad,,,,,,,,,,,
19,Burundi,Niger,,,,,,,,,,,,,,,,
